,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
4483,2020,10,ocon,ocon,31,7,7,7,6,53,+1:08.006,5708370,48,,Finished,1:39.216
4484,2020,10,kvyat,kvyat,26,11,8,8,4,53,+1:08.740,5709104,48,,Finished,1:39.133
4485,2020,10,gasly,gasly,10,9,9,9,2,53,+1:29.766,5730130,50,,Finished,1:37.231
4486,2020,10,albon,albon,23,15,10,10,1,53,+1:37.860,5738224,51,,Finished,1:38.377
4487,2020,10,giovinazzi,giovinazzi,99,17,11,11,0,52,,,44,,+1 Lap,1:39.766
4488,2020,10,kevin_magnussen,kevin_magnussen,20,18,12,12,0,52,,,52,,+1 Lap,1:40.380
4489,2020,10,vettel,vettel,5,14,13,13,0,52,,,46,,+1 Lap,1:39.588
4490,2020,10,raikkonen,raikkonen,7,19,14,14,0,52,,,37,,+1 Lap,1:38.858
4491,2020,10,norris,norris,4,8,15,15,0,52,,,50,,+1 Lap,1:37.377
4492,2020,10,latifi,latifi,6,20,16,16,0,52,,,47,,+1 Lap,1:41.044
4493,2020,10,grosjean,grosjean,8,16,17,17,0,52,,,44,,+1 Lap,1:39.614
4494,2020,10,russell,russell,63,13,18,18,0,52,,,52,,+1 Lap,1:37.352
4495,2020,10,sainz,sainz,55,6,19,R,0,0,,,,,Accident,
4496,2020,10,stroll,stroll,18,12,20,R,0,0,,,,,Collision,
4497,2020,11,hamilton,hamilton,44,2,1,1,25,60,1:35:49.641,5749641,58,,Finished,1:28.145
4498,2020,11,max_verstappen,max_verstappen,33,3,2,2,19,60,+4.470,5754111,60,,Finished,1:28.139
4499,2020,11,ricciardo,ricciardo,3,6,3,3,15,60,+14.613,5764254,53,,Finished,1:29.584
4500,2020,11,perez,perez,11,9,4,4,12,60,+16.070,5765711,58,,Finished,1:29.700
4501,2020,11,sainz,sainz,55,10,5,5,10,60,+21.905,5771546,53,,Finished,1:30.129
4502,2020,11,gasly,gasly,10,12,6,6,8,60,+22.766,5772407,53,,Finished,1:30.110
4503,2020,11,leclerc,leclerc,16,4,7,7,6,60,+30.814,5780455,54,,Finished,1:30.712
4504,2020,11,hulkenberg,hulkenberg,27,20,8,8,4,60,+32.596,5782237,58,,Finished,1:30.733
